album,price,rating,have,want,tier,popularity
"Earl Wild, Boston Symphony* / Erich Leinsdorf - Scharwenka* / Balakireff* / Medtner* / d'Albert* - Concerto No. 1, Op. 32 / Reminiscences Of Glinka's Opera ""A Life For The Tsar"" / Improvisation, Op. 31, No. 1 / Scherzo, Op. 16, No. 2",3.99,4.2,104,10,Niche/Underground,0.08771929824561403
Tony Mottola - Guitar U.S.A.,3.99,0.0,17,5,Low Priority,0.22727272727272727
Mac Davis - Song Painter,0.99,3.57,458,21,Niche/Underground,0.04384133611691023
Leo Kottke - Mudlark,7.49,5.0,27,12,Niche/Underground,0.3076923076923077
"The Willis Brothers - ""Bob"" And Other Songs To Make The Jukebox Play",3.99,3.4,74,14,Low Priority,0.1590909090909091
Wet Willie - Manorisms,2.99,3.88,1164,42,Mid-Tier (Popular),0.03482587064676617
Steve Allen - The Steve Allen Show,1.99,3.0,43,11,Low Priority,0.2037037037037037
B.B. King - To Know You Is To Love You,28.99,4.0,125,49,Mid-Tier (Popular),0.28160919540229884
Freddy Martin And His Orchestra - 26 Great Waltzes Vol. 2,39.99,3.0,19,0,Low Priority,0.0
Bill Anderson - Where Have All Our Heroes Gone,5.99,3.88,209,15,Niche/Underground,0.06696428571428571
Charlie Byrd - The Look Of Love,3.99,3.5,308,14,Niche/Underground,0.043478260869565216
Henry Wolff & Nancy Hennings - Tibetan Bells II,6.99,3.93,163,131,Mid-Tier (Popular),0.445578231292517
Bobby Goldsboro - Word Pictures,0.99,3.83,449,17,Niche/Underground,0.03648068669527897
The Firesign Theatre - The Tale Of The Giant Rat Of Sumatra,3.99,3.7,544,36,Niche/Underground,0.06206896551724138
Styx - Paradise Theatre,11.99,3.97,2054,123,Mid-Tier (Popular),0.056499770326136886
ZZ Top - Eliminator,13.99,4.48,1105,362,Mid-Tier (Popular),0.24676209952283573
The Who - Who's Next,14.99,4.28,1058,447,Mid-Tier (Popular),0.29700996677740865
Yes - The Yes Album,14.99,4.3,165,108,Mid-Tier (Popular),0.3956043956043956
John Cougar* - American Fool,10.99,4.05,926,82,Mid-Tier (Popular),0.08134920634920635
The Allman Brothers Band - The Allman Brothers Band At Fillmore East,49.99,4.52,477,242,Top Rated,0.33657858136300417
Creedence Clearwater Revival Featuring John Fogerty - Chronicle - The 20 Greatest Hits,25.99,4.58,549,84,Top Rated,0.13270142180094788
Richard Simmons - Reach,2.99,5.0,98,11,Niche/Underground,0.10091743119266056
Warren Zevon - Excitable Boy,24.99,4.38,6439,539,Mid-Tier (Popular),0.07724276296933219
Johnny Guitar Watson - The Very Best Of Johnny Guitar Watson,12.99,4.13,653,61,Mid-Tier (Popular),0.08543417366946779
Supertramp - Even In The Quietest Moments...,19.99,4.09,670,145,Mid-Tier (Popular),0.17791411042944785
Bruce Springsteen - Darkness On The Edge Of Town,14.99,4.3,1059,307,Mid-Tier (Popular),0.2247437774524158
Bob Dylan - John Wesley Harding,4.99,4.8,159,178,Top Rated,0.5281899109792285
Curtis Hairston - Curtis Hairston,11.95,4.46,287,281,Mid-Tier (Popular),0.49471830985915494
Anne Murray - Country,3.99,4.2,104,3,Niche/Underground,0.028037383177570093
Eagles - The Long Run,9.99,4.15,1931,119,Mid-Tier (Popular),0.05804878048780488
Rick Springfield - Hard To Hold - Soundtrack Recording,1.99,3.53,1673,66,Mid-Tier (Popular),0.03795284646348476
Various - The Rocky Horror Picture Show,39.99,4.25,157,107,Mid-Tier (Popular),0.4053030303030303
Village People - Live And Sleazy,5.99,3.29,317,28,Low Priority,0.08115942028985507
Ozzy Osbourne - Diary Of A Madman,31.99,4.32,472,236,Mid-Tier (Popular),0.3333333333333333
Donna Fargo - Just For You,3.99,0.0,1,0,Low Priority,0.0
Boston - Don't Look Back,9.99,4.0,534,91,Mid-Tier (Popular),0.1456
Crawler - Crawler,11.99,3.76,165,32,Niche/Underground,0.16243654822335024
Pete Townshend - White City,10.0,3.9,2821,56,Mid-Tier (Popular),0.019464720194647202
Boz Scaggs - Hits!,5.99,3.91,3696,92,Mid-Tier (Popular),0.024287222808870117
Jimmy Swaggart And His Golden Gospel Piano* - Someone To Care,1.39,2.33,83,2,Low Priority,0.023529411764705882
The Alan Parsons Project - Eye In The Sky,19.99,4.12,207,290,Mid-Tier (Popular),0.5835010060362174
The Beach Boys - Little Deuce Coupe,13.99,3.67,68,34,Niche/Underground,0.3333333333333333
Kevin Rowland & Dexys Midnight Runners - Too-Rye-Ay,25.99,3.86,2727,245,Mid-Tier (Popular),0.08243606998654104
La Tuna Estudiantina De Cayey - Navidad,7.99,5.0,21,2,Niche/Underground,0.08695652173913043
Leonardo Paniagua - Navidades Con Paniagua,39.99,5.0,9,15,Niche/Underground,0.625
Dolly Parton - 9 To 5 And Odd Jobs,11.99,3.93,3860,434,Mid-Tier (Popular),0.10107126222636237
Hank Williams With His Drifting Cowboys - Hank Williams Lives Again,3.99,3.9,734,64,Mid-Tier (Popular),0.08020050125313283
Marco Antonio Muñiz - Seguiré Mi Viaje...,10.99,0.0,14,3,Low Priority,0.17647058823529413
Jean-Luc Ponty - Upon The Wings Of Music,5.99,4.11,641,57,Mid-Tier (Popular),0.08166189111747851
Santana - Santana,8.99,4.43,1946,280,Mid-Tier (Popular),0.12578616352201258
Linda Ronstadt - Hasten Down The Wind,12.99,3.83,2577,96,Mid-Tier (Popular),0.03591470258136925
The Police - Synchronicity,21.99,4.18,1400,327,Mid-Tier (Popular),0.18934568616097278
Andy Williams - The Andy Williams Sound Of Music,1.99,3.33,283,11,Low Priority,0.03741496598639456
Queen - The Works,31.99,4.2,2611,810,Mid-Tier (Popular),0.23677287342882197
A Number Of Things - Toasterhead,8.99,4.09,112,61,Mid-Tier (Popular),0.35260115606936415
The Dead Milkmen - Big Lizard In My Backyard,110.99,4.56,985,515,Top Rated,0.3433333333333333
The Woodentops - Giant,7.99,3.0,65,5,Low Priority,0.07142857142857142
Metallica - Kill 'Em All,150.99,4.49,1632,1875,Mid-Tier (Popular),0.5346449957228401
Van Halen - Diver Down,19.99,4.3,527,163,Mid-Tier (Popular),0.23623188405797102
Kiss - Alive II,39.99,4.26,521,89,Mid-Tier (Popular),0.14590163934426228
Xenis Emputae Travelling Band - The Pyrognomic Glass,25.99,5.0,41,20,Niche/Underground,0.32786885245901637
Van Halen - 1984,22.99,4.38,1785,354,Mid-Tier (Popular),0.16549789621318373
Steely Dan - The Royal Scam,34.99,5.0,37,115,Top Rated,0.756578947368421
Ronnie Milsap - Only One Love In My Life,2.49,3.95,1127,25,Niche/Underground,0.021701388888888888
Village People - Cruisin',4.99,3.71,2720,76,Mid-Tier (Popular),0.027181688125894134
Deodato* - 2001,11.99,4.13,376,139,Mid-Tier (Popular),0.26990291262135924
The Doobie Brothers - Takin' It To The Streets,9.99,4.09,380,90,Mid-Tier (Popular),0.19148936170212766
Ravi Shankar - India's Master Musician / Recorded In London,8.99,4.67,72,14,Niche/Underground,0.16279069767441862
Wild Bill Davis And His Orchestra* - Dance The Madison,7.99,5.0,15,6,Niche/Underground,0.2857142857142857
Charles Aznavour - Chante En Multiphonie Stereo Album No 3,21.99,4.07,168,8,Niche/Underground,0.045454545454545456
The Beach Boys - 15 Big Ones,3.99,3.2,605,54,Low Priority,0.0819423368740516
Delbert & Glen - Delbert & Glen,24.99,4.25,315,105,Mid-Tier (Popular),0.25
The Doobie Brothers - Livin' On The Fault Line,5.99,4.03,531,62,Mid-Tier (Popular),0.1045531197301855
Michael Tomlinson - Run This Way Forever,14.99,4.2,49,34,Niche/Underground,0.40963855421686746
Osamu Kitajima - Masterless Samurai,34.99,4.36,450,640,Mid-Tier (Popular),0.5871559633027523
Gilbert O'Sullivan - Himself,14.99,3.0,96,17,Low Priority,0.1504424778761062
Various - Merry Christmas Songs: 29 All-Time Favorites,10.99,3.15,677,95,Low Priority,0.12305699481865284
Hajime Tachibana - Hm,129.99,4.17,219,112,Mid-Tier (Popular),0.338368580060423
Jimmy Clanton & Bristow Hopper - Jimmy Clanton & Bristow Hopper,6.99,1.0,27,2,Low Priority,0.06896551724137931
Various - Southern Fried Rock,5.99,4.2,148,16,Niche/Underground,0.0975609756097561
Piero - Recuerdos,39.99,4.5,17,2,Niche/Underground,0.10526315789473684
Eddie Kochak And His Middle Eastern Ensemble - Middle Eastern Caravan,59.99,5.0,7,20,Niche/Underground,0.7407407407407407
Jacques Brel - Brel,15.99,3.8,79,29,Niche/Underground,0.26851851851851855
Sweetwater - Just For You,2.99,3.0,37,27,Low Priority,0.421875
Eric Kaz - Cul-De-Sac,10.99,0.0,4,8,Low Priority,0.6666666666666666
Randy Newman - Little Criminals,8.99,3.71,261,60,Mid-Tier (Popular),0.18691588785046728
Bette Midler - Bette Midler,1.99,3.81,1634,47,Mid-Tier (Popular),0.02795954788816181
Muddy Waters Presents Dichotomy* - 'Just Here To Make Friends',12.99,0.0,11,3,Low Priority,0.21428571428571427
The Holy Mackerel - The Holy Mackerel,24.99,3.92,277,276,Mid-Tier (Popular),0.49909584086799275
Marcy* - Christmas With Marcy,14.99,5.0,41,10,Niche/Underground,0.19607843137254902
Jim Reeves - The Best Of Jim Reeves,1.39,3.84,2047,36,Niche/Underground,0.01728276524243879
Enoch Light & The Light Brigade* - The Best Of The Movie Themes 1970,5.29,3.67,112,33,Niche/Underground,0.22758620689655173
Wade Denning - Famous Ghost Stories! With Scary Sounds,10.99,4.5,61,29,Niche/Underground,0.32222222222222224
Hans Olson - Blonde Sun Album,135.99,4.4,44,66,Mid-Tier (Popular),0.6
Liberace - 'Twas The Night Before Christmas,3.99,3.5,266,4,Niche/Underground,0.014814814814814815
The Grateful Dead - The Grateful Dead,57.99,4.39,1004,505,Mid-Tier (Popular),0.33465871438038436
Roy Orbison - The Very Best Of Roy Orbison,6.99,4.01,2242,82,Mid-Tier (Popular),0.035283993115318414
Led Zeppelin - Led Zeppelin III,75.99,5.0,43,255,Top Rated,0.8557046979865772
Third World - Rock The World,5.99,3.68,727,34,Niche/Underground,0.04467805519053877
Anne Murray - I'll Always Love You,3.29,3.8,310,10,Niche/Underground,0.03125
Lynn Anderson - Lynn Anderson's Greatest Hits,17.99,3.0,2,2,Low Priority,0.5
Whitesnake - Ready An' Willing,29.99,4.43,194,91,Mid-Tier (Popular),0.3192982456140351
Steely Dan - Greatest Hits,43.99,4.45,586,103,Mid-Tier (Popular),0.14949201741654572
Bob Dylan - Slow Train Coming,14.0,4.75,172,67,Top Rated,0.2803347280334728
Bobby Hutcherson - Knucklebean,9.99,4.29,606,241,Mid-Tier (Popular),0.2845336481700118
The Chesterfield Kings - The Mindbending Sounds Of... The Chesterfield Kings,35.99,4.19,260,161,Mid-Tier (Popular),0.3824228028503563
The Pentangle* - Sweet Child,18.99,4.5,201,115,Mid-Tier (Popular),0.3639240506329114
"Elvis Presley - On Stage - February, 1970",7.99,3.5,269,66,Mid-Tier (Popular),0.19701492537313434
High Rise - High Rise II,24.99,4.6,1068,343,Top Rated,0.2430900070871722
View From The Hill - In Time,1.99,4.38,195,13,Niche/Underground,0.0625
The 5th Dimension* - The Magic Garden,19.99,5.0,17,21,Niche/Underground,0.5526315789473685
The Hounds - From The Hounds With Love,75.99,3.5,17,20,Niche/Underground,0.5405405405405406
David Sanborn - Straight To The Heart,2.99,3.89,861,31,Niche/Underground,0.034753363228699555
Various - Windham Hill Records Sampler '86,3.99,4.1,241,4,Niche/Underground,0.0163265306122449
Deodato* - Airto* - In Concert,5.99,3.86,283,77,Mid-Tier (Popular),0.21388888888888888
The Mills Brothers - Memories Nice And Easy,10.99,4.5,357,10,Niche/Underground,0.027247956403269755
Jorge Raul Guerrero - El Duelo,15.99,0.0,4,2,Low Priority,0.3333333333333333
The Mothers - Fillmore East - June 1971,20.99,4.25,105,75,Mid-Tier (Popular),0.4166666666666667
Don Williams - Greatest Hits,6.99,4.0,40,2,Niche/Underground,0.047619047619047616
Don Williams - Especially For You,2.99,3.95,1848,44,Mid-Tier (Popular),0.023255813953488372
Elvis Presley - Elvis For Everyone!,10.99,3.86,165,62,Mid-Tier (Popular),0.27312775330396477
Iggy Pop - New Values,35.99,4.19,963,428,Mid-Tier (Popular),0.3076923076923077
Vikki Carr - Superstar,3.99,3.36,489,18,Low Priority,0.03550295857988166
Burt Bacharach - Butch Cassidy And The Sundance Kid,1.89,3.76,3665,132,Mid-Tier (Popular),0.03476428759547011
The Righteous Brothers - Souled Out,3.99,3.95,973,54,Mid-Tier (Popular),0.05258033106134372
"Various - Music From The Original Motion Picture Soundtrack ""It's My Turn""",1.89,3.94,509,12,Niche/Underground,0.023032629558541268
Brad Swanson And His Whispering Organ Sound* - Love Makes The World Go 'Round,5.99,5.0,42,2,Niche/Underground,0.045454545454545456
Charlie Rich - The Silver Fox,0.49,3.72,806,28,Niche/Underground,0.03357314148681055
Suzi Quatro - If You Knew Suzi...,10.99,3.64,478,81,Mid-Tier (Popular),0.1449016100178891
Various - Christmas Through The Years,4.99,3.42,426,8,Low Priority,0.018433179723502304
Various - Nashville Stars,2.99,3.8,89,4,Niche/Underground,0.043010752688172046
The Colour Field* - Virgins And Philistines,10.99,4.18,1114,84,Mid-Tier (Popular),0.07011686143572621
Various - Fall Festival Of Stars,10.99,0.0,53,1,Low Priority,0.018518518518518517
"Corelli* - Max Goberman, Michael Tree, Eugenia Earle, Jean Schneider - Twelve Trio Sonatas, Opus 4 Complete",7.99,4.0,47,5,Niche/Underground,0.09615384615384616
Karla Bonoff - Karla Bonoff,5.99,3.74,525,26,Niche/Underground,0.047186932849364795
Various - Super Pop Rock And Soul,5.99,4.11,172,16,Niche/Underground,0.0851063829787234
The Shirelles - The Shirelles' Greatest Hits Vol II.,2.39,4.75,113,16,Niche/Underground,0.12403100775193798
"The Movement To Preserve Scatological & Prurient Material In Its Original Form - The Earthy Side Of Such Diverse Personalities As Abraham Lincoln, Benjamin Franklin, E. Field, Kipling, Purcell & Others",10.99,0.0,100,26,Low Priority,0.20634920634920634
Various - Country Excitement,5.99,4.0,18,0,Niche/Underground,0.0
Lou Reed - Mistrial,6.99,3.61,3295,185,Mid-Tier (Popular),0.05316091954022988
The Ramsey Lewis Trio - Another Voyage,7.99,4.39,348,255,Mid-Tier (Popular),0.4228855721393035
Shoot - On The Frontier,13.99,4.36,199,90,Mid-Tier (Popular),0.31141868512110726
Maurice A. Sixto - Choses Et Gens Entendus,4.99,5.0,15,4,Niche/Underground,0.21052631578947367
Richard Torrance - Bareback,3.99,3.86,294,54,Mid-Tier (Popular),0.15517241379310345
Roger Whittaker - Best Loved Ballads,1.99,4.17,332,1,Niche/Underground,0.003003003003003003
The Beatles - The Early Beatles,28.99,4.43,178,65,Mid-Tier (Popular),0.2674897119341564
Johnny Mathis - In Person - Recorded Live At Las Vegas,1.89,3.9,469,11,Niche/Underground,0.022916666666666665
Amboy Dukes* - Marriage On The Rocks - Rock Bottom,19.99,3.45,1048,218,Low Priority,0.1721958925750395
Sonny James And His Southern Gentlemen* - The Astrodome Presents In Person Sonny James,2.99,4.0,121,3,Niche/Underground,0.024193548387096774
"Juan Serrano - iOle, La Mano!",15.99,4.5,65,7,Niche/Underground,0.09722222222222222
Coryell* - Khan* - Two For The Road,4.99,3.88,1018,65,Mid-Tier (Popular),0.06001846722068329
Cannonball Adderley - The Lush Side Of Cannonball,23.99,3.5,183,40,Niche/Underground,0.17937219730941703
"Eugene Ormandy, The Philadelphia Orchestra, Daniel Epstein - ""The Yellow River"" Concerto",12.99,3.75,185,27,Niche/Underground,0.12735849056603774
The Gospel Heirs - He Was There All The Time,5.99,0.0,2,1,Low Priority,0.3333333333333333
"Prokofiev* - Ormandy*, Philadelphia Orchestra* - Ormandy Conducts Prokoviev: Symphony No. 6",2.99,4.33,121,5,Niche/Underground,0.03968253968253968
Lynn Anderson - You're My Man,1.89,3.0,119,8,Low Priority,0.06299212598425197
Seals & Crofts - Diamond Girl,6.99,3.61,7459,127,Mid-Tier (Popular),0.01674136567360928
Jim Nabors - Jim Nabors Sings Love Me With All Your Heart,0.99,3.36,1253,9,Low Priority,0.0071315372424722665
Felipe Rodriguez Con Trio Los Antares - Regalo De Navidad,24.99,0.0,10,3,Low Priority,0.23076923076923078
Elvis Presley - Elvis,184.99,5.0,23,63,Top Rated,0.7325581395348837
Pedro Vargas - Canciones De Navidad Vol. II,15.99,4.67,12,1,Niche/Underground,0.07692307692307693
Charlie Byrd - Swings Downtown,4.99,3.91,218,9,Niche/Underground,0.039647577092511016
Menudo - A Todo Rock,14.99,3.64,270,28,Niche/Underground,0.09395973154362416
Squeeze - East Side Story,7.99,4.0,1141,91,Mid-Tier (Popular),0.07386363636363637
Dave Mason - Mariposa De Oro,3.99,3.58,434,11,Niche/Underground,0.024719101123595506
Ted Nugent - Double Live Gonzo!,14.99,4.2,171,24,Niche/Underground,0.12307692307692308
Dal Riada - The Magician Upstairs,9.99,0.0,5,5,Low Priority,0.5
Prince And The Revolution - Parade,16.99,4.18,7616,705,Mid-Tier (Popular),0.0847253935825021
Bachman-Turner Overdrive - Head On,5.99,3.64,4119,108,Mid-Tier (Popular),0.0255500354861604
Neil Diamond - Stones,3.99,4.08,1334,38,Niche/Underground,0.027696793002915453
The New Christy Minstrels Under The Direction Of Randy Sparks - Today,1.29,3.67,250,11,Niche/Underground,0.0421455938697318
Al Di Meola / John McLaughlin / Paco De Lucía - Friday Night In San Francisco,19.99,4.4,1500,322,Mid-Tier (Popular),0.17672886937431395
Sting - The Dream Of The Blue Turtles,9.99,4.15,804,107,Mid-Tier (Popular),0.11745334796926454
Violent Femmes - The Blind Leading The Naked,15.99,3.87,3899,387,Mid-Tier (Popular),0.09029398040130658
Emigré - Emigré,2.99,3.6,138,16,Niche/Underground,0.1038961038961039
James Taylor - Flag,2.99,3.94,389,24,Niche/Underground,0.05811138014527845
The Blasters - The Blasters,6.99,4.0,455,50,Mid-Tier (Popular),0.09900990099009901
Los Melódicos - El Sabor Tentador De Los Melódicos,4.99,5.0,45,10,Niche/Underground,0.18181818181818182
Ian Dogole - Dangerous Ground,39.99,4.2,49,93,Mid-Tier (Popular),0.6549295774647887
Albert Lortzing - Zar Und Zimmermann,10.99,4.75,101,6,Niche/Underground,0.056074766355140186
Night Ranger - 7 Wishes,7.99,3.96,2553,50,Mid-Tier (Popular),0.01920860545524395
Various - Footloose,5.99,3.9,12205,884,Mid-Tier (Popular),0.06753762701505081
Gomez From Paraguay - Fabulous!,16.99,0.0,8,1,Low Priority,0.1111111111111111
Dokken - Back For The Attack,21.99,4.22,4539,390,Mid-Tier (Popular),0.07912355447352404
Various - Battlestar Galactica,10.99,3.53,631,109,Mid-Tier (Popular),0.1472972972972973
Loretta Lynn - Woman Of The World / To Make A Man,10.99,4.0,107,21,Niche/Underground,0.1640625
"Various - أغاني من اليمن  = Music From Yemen Arabia: Sanaani, Laheji, Adeni",26.99,4.5,95,133,Mid-Tier (Popular),0.5833333333333334
Crocodile Shop - Lullaby,8.0,4.22,95,33,Niche/Underground,0.2578125
Pappo's Blues - Volumen VI,39.99,4.56,138,69,Top Rated,0.3333333333333333
Various - The Wonderful World Of Christmas,8.99,0.0,26,1,Low Priority,0.037037037037037035
"Beethoven*, Jean-Pierre Rampal, Alain Marion, Christian Lardé, Paul Hongne, Robert Veyron-Lacroix - Chamber Music For Flute",4.99,0.0,24,2,Low Priority,0.07692307692307693
Don Fortino And His Orchestra - Marimba Mexico,4.99,0.0,18,2,Low Priority,0.1
"Scott Joplin, Marvin Hamlisch - The Sting",2.99,4.0,364,19,Niche/Underground,0.04960835509138381
Led Zeppelin - In Through The Out Door,19.99,4.29,997,287,Mid-Tier (Popular),0.2235202492211838
Carlos Gardel - Carlos Gardel Volumen 15,21.99,0.0,2,0,Low Priority,0.0
"Miguel Aceves Mejia, Mariachi Vargas de Tecalitlán, Mariachi Mexico, Mariachi Pulido - Canta Romances Rancheros Vol. IX",11.99,5.0,28,0,Niche/Underground,0.0
Segovia* - Golden Jubilee,21.99,4.29,171,11,Niche/Underground,0.06043956043956044
"Alberto Vazquez* - Ven Amorcito, Ven",4.99,0.0,11,1,Low Priority,0.08333333333333333
Various - Something Festive,5.29,3.38,237,23,Low Priority,0.08846153846153847
"Offenbach* - Le Ballet Francais Orchestre, P. Montiel* - Gaité Parisienne",5.99,3.5,103,4,Niche/Underground,0.037383177570093455
Various - Music Power,3.99,4.43,102,14,Niche/Underground,0.1206896551724138
Streisand* - Guilty,5.99,3.9,1516,78,Mid-Tier (Popular),0.04893350062735257
John Barry - Octopussy,15.99,3.67,182,83,Mid-Tier (Popular),0.3132075471698113
Tracy Nelson - Mother Earth Presents Tracy Nelson Country,6.99,4.33,77,14,Niche/Underground,0.15384615384615385
Charles Earland - Odyssey,15.99,4.4,337,327,Mid-Tier (Popular),0.4924698795180723
Judas Priest - Turbo,21.99,4.08,6076,409,Mid-Tier (Popular),0.0630686198920586
Benny Hester - Benny...,39.99,4.5,55,75,Mid-Tier (Popular),0.5769230769230769
Martin Luther King* - At Local 1199,10.99,5.0,24,42,Top Rated,0.6363636363636364
Peggy Lee - Once More With Feeling,3.99,4.06,389,14,Niche/Underground,0.034739454094292806
The 4 Seasons* - The 4 Seasons' Gold Vault Of Hits,2.99,3.86,2234,20,Niche/Underground,0.008873114463176575
