album,price,rating,have,want,genre
"Alvarez Guedes - 21 (LP, Album)",$4.99,N/A,8 have,3 want,N/A
"Elton John - Don't Shoot Me I'm Only The Piano Player (LP, Album, Glo)",$5.99,Rated: 4.01,7147 have,274 want,N/A
"Santana - Santana (LP, Album, Pit)",$3.99,Rated: 4.19,14674 have,962 want,N/A
"Hugues Aufray - Garlick (LP, Album, Gat)",$14.21,Rated: 3.77,266 have,9 want,N/A
"Wilbert Harrison - Wilbert Harrison (LP, Album, Promo)",$19.99,Rated: 2.33,28 have,23 want,N/A
"Frank Sinatra - Come Fly With Me (LP, Album, Mono, RP, Scr)",$20.99,Rated: 4.60,86 have,54 want,N/A
"Various - Joy To The World (LP, Comp)",$10.99,Rated: 5.00,147 have,4 want,N/A
"Fabian (6) - The Fabulous Fabian (LP, Album, Mono, Roc)",$7.99,Rated: 3.68,714 have,33 want,N/A
"Nelson Eddy ,  Skitch Henderson And His Orchestra* - A Starry Night (LP, Album, Mono)",$4.99,Rated: 4.00,26 have,3 want,N/A
"Gary Morris - Hits (LP, Comp, Spe)",$2.99,Rated: 3.50,159 have,4 want,N/A
"Jim Reeves - Talkin' To Your Heart (LP, Album, Mono, Ind)",$2.99,Rated: 2.60,146 have,10 want,N/A
"Dalida - Disque D'Or - La Chanson Du Mundial (LP, Comp)",$6.99,N/A,37 have,15 want,N/A
"Gilbert Bécaud - Disque D'or (LP, Comp)",$3.99,Rated: 4.17,316 have,7 want,N/A
"Mantovani - Plays Music From Exodus And Other Great Themes (LP, Album, Mono)",$1.99,Rated: 3.38,370 have,2 want,N/A
"Jack Greene - There Goes My Everything (LP, Album, Mono, Pic)",$4.99,Rated: 4.71,206 have,13 want,N/A
"Jon Lucien - Romantico (LP, Album, RE)",$2.99,Rated: 4.33,121 have,84 want,N/A
"Various - Bean Blossom (2xLP, Album, Pin)",$6.99,Rated: 4.17,644 have,50 want,N/A
"Buck Owens And His Buckaroos - Before You Go / No One But You (LP, Album, Mono)",$10.49,Rated: 4.19,415 have,42 want,N/A
"Curved Air - Airborne (LP, Album)",$14.99,Rated: 3.65,704 have,102 want,N/A
"Dionne Warwick - Dionne Warwick's Golden Hits - Part One (LP, Comp)",$2.99,Rated: 4.00,1082 have,24 want,N/A
"Scorpions - Lonesome Crow (LP, Album, RE)",$43.99,Rated: 4.00,302 have,211 want,N/A
"The Good Time Singers - One Step More (LP, Album, Mono)",$5.99,Rated: 3.33,19 have,13 want,N/A
"Z.Z. Hill - Bluesmaster (LP, Album)",$5.99,Rated: 4.16,472 have,22 want,N/A
"Kenny Rogers - Short Stories (LP, Comp)",$2.99,Rated: 3.57,366 have,16 want,N/A
"Mantovani And His Orchestra - Christmas Carols (LP, Album, Mono)",$1.99,Rated: 4.24,395 have,16 want,N/A
"Mantovani And His Orchestra - Gems Forever... (LP, Album)",$1.99,Rated: 3.93,369 have,5 want,N/A
"Ray Conniff - Alone Again (Naturally) (LP, Album, Quad)",$5.99,Rated: 3.67,101 have,14 want,N/A
"Various - Live At The '101': Warts 'N' All (LP, Comp)",$6.99,Rated: 3.81,234 have,26 want,N/A
"Gershwin* / Andre Previn*, London Symphony Orchestra - Previn Plays Gershwin (LP, Album, Club, RP, Col)",$1.99,Rated: 4.50,85 have,9 want,N/A
Russ Case And His Orchestra - Yesterdays: Memorable Melodies By Jerome Kern (LP),$3.49,N/A,21 have,5 want,N/A
"David Munrow & The Early Music Consort Of London - Henry VIII And His Six Wives:  Music From The Soundtrack Film (LP, RP)",$2.99,Rated: 4.25,92 have,11 want,N/A
"Earl Wild, Boston Symphony* / Erich Leinsdorf - Scharwenka* / Balakireff* / Medtner* / d'Albert* - Concerto No. 1, Op. 32 / Reminiscences Of Glinka's Opera ""A Life For The Tsar"" / Improvisation, Op. 31, No. 1 / Scherzo, Op. 16, No. 2 (LP)",$3.99,Rated: 4.20,104 have,10 want,N/A
"Tony Mottola - Guitar U.S.A. (LP, Album, Club)",$3.99,N/A,17 have,5 want,N/A
"Mac Davis - Song Painter (LP, Album, RE)",$0.99,Rated: 3.57,458 have,21 want,N/A
"Leo Kottke - Mudlark (LP, Album, RE, SRC)",$7.49,Rated: 5.00,27 have,12 want,N/A
"The Willis Brothers - ""Bob"" And Other Songs To Make The Jukebox Play (LP, Album)",$3.99,Rated: 3.40,74 have,14 want,N/A
"Wet Willie - Manorisms (LP, Album, Pit)",$2.99,Rated: 3.88,1164 have,42 want,N/A
Steve Allen (3) - The Steve Allen Show (LP),$1.99,Rated: 3.00,43 have,11 want,N/A
"B.B. King - To Know You Is To Love You (LP, Album, Promo)",$28.99,Rated: 4.00,125 have,49 want,N/A
"Freddy Martin And His Orchestra - 26 Great Waltzes Vol. 2 (LP, Comp)",$39.99,Rated: 3.00,19 have,N/A,N/A
"Bill Anderson (2) - Where Have All Our Heroes Gone (LP, Album)",$5.99,Rated: 3.88,209 have,15 want,N/A
"Charlie Byrd - The Look Of Love (LP, Comp)",$3.99,Rated: 3.50,308 have,14 want,N/A
"Henry Wolff & Nancy Hennings - Tibetan Bells II (LP, Album)",$6.99,Rated: 3.93,163 have,131 want,N/A
"Bobby Goldsboro - Word Pictures (LP, Album, Gat)",$0.99,Rated: 3.83,449 have,17 want,N/A
The Firesign Theatre - The Tale Of The Giant Rat Of Sumatra (LP),$3.99,Rated: 3.70,544 have,36 want,N/A
"Styx - Paradise Theatre (LP, Album, Etch, Pit)",$11.99,Rated: 3.97,2054 have,123 want,N/A
"ZZ Top - Eliminator (LP, Album, Spe)",$13.99,Rated: 4.48,1105 have,362 want,N/A
"The Who - Who's Next (LP, Album, RE, Glo)",$14.99,Rated: 4.28,1058 have,447 want,N/A
"Yes - The Yes Album (LP, Album, RE, SRC)",$14.99,Rated: 4.30,165 have,108 want,N/A
"John Cougar* - American Fool (LP, Album, 72 )",$10.99,Rated: 4.05,926 have,82 want,N/A
"The Allman Brothers Band - The Allman Brothers Band At Fillmore East (2xLP, Album, RE, 53)",$49.99,Rated: 4.52,477 have,242 want,N/A
"Creedence Clearwater Revival Featuring John Fogerty - Chronicle - The 20 Greatest Hits (2xLP, Comp, Ter)",$25.99,Rated: 4.58,549 have,84 want,N/A
"Richard Simmons - Reach (LP, Album)",$2.99,Rated: 5.00,98 have,11 want,N/A
"Warren Zevon - Excitable Boy (LP, Album, SP )",$24.99,Rated: 4.38,6439 have,539 want,N/A
"Johnny Guitar Watson - The Very Best Of Johnny Guitar Watson (LP, Comp)",$12.99,Rated: 4.13,653 have,61 want,N/A
"Supertramp - Even In The Quietest Moments... (LP, Album, Ind)",$19.99,Rated: 4.09,670 have,145 want,N/A
"Bruce Springsteen - Darkness On The Edge Of Town (LP, Album, Kee)",$14.99,Rated: 4.30,1059 have,307 want,N/A
"Bob Dylan - John Wesley Harding (LP, Album, RE)",$4.99,Rated: 4.80,159 have,178 want,N/A
"Curtis Hairston - Curtis Hairston (LP, Album, SP )",$11.95,Rated: 4.46,287 have,281 want,N/A
"Anne Murray - Country (LP, Comp)",$3.99,Rated: 4.20,104 have,3 want,N/A
"Eagles - The Long Run (LP, Album, Club, Col)",$9.99,Rated: 4.15,1931 have,119 want,N/A
"Rick Springfield - Hard To Hold - Soundtrack Recording (LP, Album, Ind)",$1.99,Rated: 3.53,1673 have,66 want,N/A
"Various - The Rocky Horror Picture Show (LP, Album, Num, Pic, Lim)",$39.99,Rated: 4.25,157 have,107 want,N/A
"Village People - Live And Sleazy (2xLP, Album, Gol)",$5.99,Rated: 3.29,317 have,28 want,N/A
"Ozzy Osbourne - Diary Of A Madman (LP, Album, RE, RP)",$31.99,Rated: 4.32,472 have,236 want,N/A
"Donna Fargo - Just For You (LP, Album, Win)",$3.99,N/A,1 want,N/A,N/A
"Boston - Don't Look Back (LP, Album, RE, Gat)",$9.99,Rated: 4.00,534 have,91 want,N/A
"Crawler - Crawler (LP, Album, Pic)",$11.99,Rated: 3.76,165 have,32 want,N/A
"Pete Townshend - White City (A Novel) (LP, Album, SP )",$10.00,Rated: 3.90,2821 have,56 want,N/A
"Boz Scaggs - Hits! (LP, Comp, Ter)",$5.99,Rated: 3.91,3696 have,92 want,N/A
"Jimmy Swaggart And His Golden Gospel Piano* - Someone To Care (LP, Album, RE)",$1.39,Rated: 2.33,83 have,2 want,N/A
"The Alan Parsons Project - Eye In The Sky (LP, Album, Club, CRC)",$19.99,Rated: 4.12,207 have,290 want,N/A
"The Beach Boys - Little Deuce Coupe (LP, Album, RE, Jac)",$13.99,Rated: 3.67,68 have,34 want,N/A
"Kevin Rowland & Dexys Midnight Runners - Too-Rye-Ay (LP, Album, HRM)",$25.99,Rated: 3.86,2727 have,245 want,N/A
"La Tuna Estudiantina De Cayey - Navidad (LP, Album)",$7.99,Rated: 5.00,21 have,2 want,N/A
"Leonardo Paniagua - Navidades Con Paniagua (LP, Album)",$39.99,Rated: 5.00,9 have,15 want,N/A
"Dolly Parton - 9 To 5 And Odd Jobs (LP, Album, Ind)",$11.99,Rated: 3.93,3860 have,434 want,N/A
"Hank Williams With His Drifting Cowboys - Hank Williams Lives Again (LP, Comp, Mono)",$3.99,Rated: 3.90,734 have,64 want,N/A
"Marco Antonio Muñiz - Seguiré Mi Viaje... (LP, Album, Mono)",$10.99,N/A,14 have,3 want,N/A
"Jean-Luc Ponty - Upon The Wings Of Music (LP, Album, PR )",$5.99,Rated: 4.11,641 have,57 want,N/A
"Santana - Santana (LP, Album, San)",$8.99,Rated: 4.43,1946 have,280 want,N/A
"Linda Ronstadt - Hasten Down The Wind (LP, Album, PRC)",$12.99,Rated: 3.83,2577 have,96 want,N/A
"The Police - Synchronicity (LP, Album, BRY)",$21.99,Rated: 4.18,1400 have,327 want,N/A
"Andy Williams - The Andy Williams Sound Of Music (2xLP, Comp, San)",$1.99,Rated: 3.33,283 have,11 want,N/A
"Queen - The Works (LP, Album, Win)",$31.99,Rated: 4.20,2611 have,810 want,N/A
A Number Of Things - Toasterhead (LP),$8.99,Rated: 4.09,112 have,61 want,N/A
"The Dead Milkmen - Big Lizard In My Backyard (LP, Album)",$110.99,Rated: 4.56,985 have,515 want,N/A
"The Woodentops - Giant (LP, Album, Car)",$7.99,Rated: 3.00,65 have,5 want,N/A
"Metallica - Kill 'Em All (LP, Album)",$150.99,Rated: 4.49,1632 have,1875 want,N/A
"Van Halen - Diver Down (LP, Album, Club, Car)",$19.99,Rated: 4.30,527 have,163 want,N/A
"Kiss - Alive II (2xLP, Album, Gat)",$39.99,Rated: 4.26,521 have,89 want,N/A
"Xenis Emputae Travelling Band - The Pyrognomic Glass (LP, Ltd, RE)",$25.99,Rated: 5.00,41 have,20 want,N/A
"Van Halen - 1984 (LP, Album, Club, Pit)",$22.99,Rated: 4.38,1785 have,354 want,N/A
"Steely Dan - The Royal Scam (LP, Album, Club, RCA)",$34.99,Rated: 5.00,37 have,115 want,N/A
"Ronnie Milsap - Only One Love In My Life (LP, Album)",$2.49,Rated: 3.95,1127 have,25 want,N/A
"Village People - Cruisin' (LP, Album, Ter)",$4.99,Rated: 3.71,2720 have,76 want,N/A
"Deodato* - 2001 (LP, Album, RE, Ter)",$11.99,Rated: 4.13,376 have,139 want,N/A
"The Doobie Brothers - Takin' It To The Streets (LP, Album, Club)",$9.99,Rated: 4.09,380 have,90 want,N/A
"Ravi Shankar - India's Master Musician / Recorded In London (LP, Album, RE, Roc)",$8.99,Rated: 4.67,72 have,14 want,N/A
"Wild Bill Davis And His Orchestra* - Dance The Madison (LP, Mono)",$7.99,Rated: 5.00,15 have,6 want,N/A
"Charles Aznavour - Chante En Multiphonie Stereo Album No 3 (LP, Comp)",$21.99,Rated: 4.07,168 have,8 want,N/A
"The Beach Boys - 15 Big Ones (LP, Album, Jac)",$3.99,Rated: 3.20,605 have,54 want,N/A
"Delbert & Glen - Delbert & Glen (LP, Album, RI )",$24.99,Rated: 4.25,315 have,105 want,N/A
"The Doobie Brothers - Livin' On The Fault Line (LP, Album, Club, RCA)",$5.99,Rated: 4.03,531 have,62 want,N/A
"Michael Tomlinson (2) - Run This Way Forever (LP, Album, EMW)",$14.99,Rated: 4.20,49 have,34 want,N/A
"Osamu Kitajima - Masterless Samurai (LP, Album, Dig)",$34.99,Rated: 4.36,450 have,640 want,N/A
"Gilbert O'Sullivan - Himself (LP, Album)",$14.99,Rated: 3.00,96 have,17 want,N/A
"Various - Merry Christmas Songs: 29 All-Time Favorites (2xLP, Comp, Ter)",$10.99,Rated: 3.15,677 have,95 want,N/A
"Hajime Tachibana - Hm (LP, Album)",$129.99,Rated: 4.17,219 have,112 want,N/A
"Jimmy Clanton & Bristow Hopper - Jimmy Clanton & Bristow Hopper (LP, Comp, Mono)",$6.99,Rated: 1.00,27 have,2 want,N/A
"Various - Southern Fried Rock (LP, Comp, 74)",$5.99,Rated: 4.20,148 have,16 want,N/A
"Piero (7) - Recuerdos (LP, Album)",$39.99,Rated: 4.50,17 have,2 want,N/A
"Eddie Kochak And His Middle Eastern Ensemble - Middle Eastern Caravan (One Thousand Years Ago...) (LP, Album)",$59.99,Rated: 5.00,7 have,20 want,N/A
"Jacques Brel - Brel (LP, Album, RE, Gat)",$15.99,Rated: 3.80,79 have,29 want,N/A
"Sweetwater - Just For You (LP, Album, Ter)",$2.99,Rated: 3.00,37 have,27 want,N/A
"Eric Kaz - Cul-De-Sac (LP, Album, MO )",$10.99,N/A,4 have,8 want,N/A
"Randy Newman - Little Criminals (LP, Album, RP, Win)",$8.99,Rated: 3.71,261 have,60 want,N/A
"Bette Midler - Bette Midler (LP, Album, MS )",$1.99,Rated: 3.81,1634 have,47 want,N/A
"Muddy Waters Presents Dichotomy* - 'Just Here To Make Friends' (LP, Album)",$12.99,N/A,11 have,3 want,N/A
"The Holy Mackerel - The Holy Mackerel (LP, Album, Ter)",$24.99,Rated: 3.92,277 have,276 want,N/A
"Marcy* - Christmas With Marcy (LP, Album, Mono)",$14.99,Rated: 5.00,41 have,10 want,N/A
"Jim Reeves - The Best Of Jim Reeves (LP, Comp, Ind)",$1.39,Rated: 3.84,2047 have,36 want,N/A
"Enoch Light & The Light Brigade* - The Best Of The Movie Themes 1970 (LP, Album, Gat)",$5.29,Rated: 3.67,112 have,33 want,N/A
"Wade Denning - Famous Ghost Stories! With Scary Sounds (LP, RP)",$10.99,Rated: 4.50,61 have,29 want,N/A
"Hans Olson - Blonde Sun Album (LP, Album)",$135.99,Rated: 4.40,44 have,66 want,N/A
"Liberace - 'Twas The Night Before Christmas (LP, Album)",$3.99,Rated: 3.50,266 have,4 want,N/A
"The Grateful Dead - The Grateful Dead (LP, Album, Pit)",$57.99,Rated: 4.39,1004 have,505 want,N/A
"Roy Orbison - The Very Best Of Roy Orbison (LP, Comp)",$6.99,Rated: 4.01,2242 have,82 want,N/A
"Led Zeppelin - Led Zeppelin III (LP, Album, RE, RP, RCA)",$75.99,Rated: 5.00,43 have,255 want,N/A
"Third World - Rock The World (LP, Album)",$5.99,Rated: 3.68,727 have,34 want,N/A
"Anne Murray - I'll Always Love You (LP, Album, Club, RE)",$3.29,Rated: 3.80,310 have,10 want,N/A
"Lynn Anderson - Lynn Anderson's Greatest Hits (LP, Comp, Quad)",$17.99,Rated: 3.00,2 have,2 want,N/A
"Whitesnake - Ready An' Willing (LP, Album)",$29.99,Rated: 4.43,194 have,91 want,N/A
"Steely Dan - Greatest Hits (2xLP, Comp, Pit)",$43.99,Rated: 4.45,586 have,103 want,N/A
"Bob Dylan - Slow Train Coming (LP, Album)",$14.00,Rated: 4.75,172 have,67 want,N/A
"Bobby Hutcherson - Knucklebean (LP, Album)",$9.99,Rated: 4.29,606 have,241 want,N/A
"The Chesterfield Kings - The Mindbending Sounds Of... The Chesterfield Kings (LP, Album)",$35.99,Rated: 4.19,260 have,161 want,N/A
"The Pentangle* - Sweet Child (2xLP, Album, Ter)",$18.99,Rated: 4.50,201 have,115 want,N/A
"Elvis Presley - On Stage - February, 1970 (LP, Album, Roc)",$7.99,Rated: 3.50,269 have,66 want,N/A
"High Rise (2) - High Rise II (LP, Album, RE)",$24.99,Rated: 4.60,1068 have,343 want,N/A
"View From The Hill - In Time (LP, Album)",$1.99,Rated: 4.38,195 have,13 want,N/A
"The 5th Dimension* - The Magic Garden (LP, Album)",$19.99,Rated: 5.00,17 have,21 want,N/A
"The Hounds (3) - From The Hounds With Love (LP, Album)",$75.99,Rated: 3.50,17 have,20 want,N/A
"David Sanborn - Straight To The Heart (LP, Album, Spe)",$2.99,Rated: 3.89,861 have,31 want,N/A
"Various - Windham Hill Records Sampler '86 (LP, Smplr, All)",$3.99,Rated: 4.10,241 have,4 want,N/A
"Deodato* - Airto* - In Concert (LP, Album)",$5.99,Rated: 3.86,283 have,77 want,N/A
"The Mills Brothers - Memories Nice And Easy (6xLP, Comp + Box)",$10.99,Rated: 4.50,357 have,10 want,N/A
"Jorge Raul Guerrero - El Duelo (LP, Album)",$15.99,N/A,4 have,2 want,N/A
"The Mothers - Fillmore East - June 1971 (LP, Album, RE)",$20.99,Rated: 4.25,105 have,75 want,N/A
"Don Williams (2) - Greatest Hits (LP, Comp, Club)",$6.99,Rated: 4.00,40 have,2 want,N/A
"Don Williams (2) - Especially For You (LP, Album, Pin)",$2.99,Rated: 3.95,1848 have,44 want,N/A
"Elvis Presley - Elvis For Everyone! (LP, Album, Mono, Ind)",$10.99,Rated: 3.86,165 have,62 want,N/A
"Iggy Pop - New Values (LP, Album, Hub)",$35.99,Rated: 4.19,963 have,428 want,N/A
"Vikki Carr - Superstar (LP, Album, Ter)",$3.99,Rated: 3.36,489 have,18 want,N/A
"Burt Bacharach - Butch Cassidy And The Sundance Kid  (LP, Album)",$1.89,Rated: 3.76,3665 have,132 want,N/A
"The Righteous Brothers - Souled Out (LP, Album, MGM)",$3.99,Rated: 3.95,973 have,54 want,N/A
"Various - Music From The Original Motion Picture Soundtrack ""It's My Turn"" (LP, Album)",$1.89,Rated: 3.94,509 have,12 want,N/A
"Brad Swanson And His Whispering Organ Sound* - Love Makes The World Go 'Round (LP, Album)",$5.99,Rated: 5.00,42 have,2 want,N/A
"Charlie Rich - The Silver Fox (LP, Album, Ter)",$0.49,Rated: 3.72,806 have,28 want,N/A
"Suzi Quatro - If You Knew Suzi... (LP, Album, PRC)",$10.99,Rated: 3.64,478 have,81 want,N/A
"Various - Christmas Through The Years (LP, Comp)",$4.99,Rated: 3.42,426 have,8 want,N/A
"Various - Nashville Stars (LP, Album, Comp)",$2.99,Rated: 3.80,89 have,4 want,N/A
"The Colour Field* - Virgins And Philistines (LP, Album)",$10.99,Rated: 4.18,1114 have,84 want,N/A
"Various - Fall Festival Of Stars (LP, Comp)",$10.99,N/A,53 have,1 want,N/A
"Corelli* - Max Goberman, Michael Tree, Eugenia Earle, Jean Schneider - Twelve Trio Sonatas, Opus 4 Complete (2xLP, Mono + Box)",$7.99,Rated: 4.00,47 have,5 want,N/A
"Karla Bonoff - Karla Bonoff (LP, Album)",$5.99,Rated: 3.74,525 have,26 want,N/A
"Various - Super Pop Rock And Soul (5xLP, Comp)",$5.99,Rated: 4.11,172 have,16 want,N/A
"The Shirelles - The Shirelles' Greatest Hits Vol II. (LP, Comp)",$2.39,Rated: 4.75,113 have,16 want,N/A
"The Movement To Preserve Scatological & Prurient Material In Its Original Form - The Earthy Side Of Such Diverse Personalities As Abraham Lincoln, Benjamin Franklin, E. Field, Kipling, Purcell & Others (LP, Album)",$10.99,N/A,100 have,26 want,N/A
"Various - Country Excitement (LP, Comp)",$5.99,Rated: 4.00,18 have,N/A,N/A
"Lou Reed - Mistrial (LP, Album, Ind)",$6.99,Rated: 3.61,3295 have,185 want,N/A
"The Ramsey Lewis Trio - Another Voyage (LP, Album)",$7.99,Rated: 4.39,348 have,255 want,N/A
"Shoot - On The Frontier (LP, Album)",$13.99,Rated: 4.36,199 have,90 want,N/A
Maurice A. Sixto - Choses Et Gens Entendus (LP),$4.99,Rated: 5.00,15 have,4 want,N/A
"Richard Torrance - Bareback (LP, Album, Los)",$3.99,Rated: 3.86,294 have,54 want,N/A
"Roger Whittaker - Best Loved Ballads (2xLP, Album)",$1.99,Rated: 4.17,332 have,1 want,N/A
"The Beatles - The Early Beatles (LP, Comp, RE)",$28.99,Rated: 4.43,178 have,65 want,N/A
"Johnny Mathis - In Person - Recorded Live At Las Vegas (2xLP, Album, Ter)",$1.89,Rated: 3.90,469 have,11 want,N/A
"Amboy Dukes* - Marriage On The Rocks - Rock Bottom (LP, Album, Sid)",$19.99,Rated: 3.45,1048 have,218 want,N/A
"Sonny James And His Southern Gentlemen* - The Astrodome Presents In Person Sonny James (LP, Album)",$2.99,Rated: 4.00,121 have,3 want,N/A
"Juan Serrano - iOle, La Mano! (LP)",$15.99,Rated: 4.50,65 have,7 want,N/A
"Coryell* - Khan* - Two For The Road (LP, Album)",$4.99,Rated: 3.88,1018 have,65 want,N/A
"Cannonball Adderley - The Lush Side Of Cannonball (LP, Mono, RE)",$23.99,Rated: 3.50,183 have,40 want,N/A
"Eugene Ormandy, The Philadelphia Orchestra, Daniel Epstein - ""The Yellow River"" Concerto (LP, Album)",$12.99,Rated: 3.75,185 have,27 want,N/A
The Gospel Heirs (7) - He Was There All The Time (LP),$5.99,N/A,2 have,1 want,N/A
"Prokofiev* - Ormandy*, Philadelphia Orchestra* - Ormandy Conducts Prokoviev: Symphony No. 6 (LP, Album)",$2.99,Rated: 4.33,121 have,5 want,N/A
"Lynn Anderson - You're My Man (LP, Album)",$1.89,Rated: 3.00,119 have,8 want,N/A
"Seals & Crofts - Diamond Girl (LP, Album, Ter)",$6.99,Rated: 3.61,7459 have,127 want,N/A
"Jim Nabors - Jim Nabors Sings Love Me With All Your Heart (LP, Album)",$0.99,Rated: 3.36,1253 have,9 want,N/A
"Felipe Rodriguez Con Trio Los Antares - Regalo De Navidad (LP, Album)",$24.99,N/A,10 have,3 want,N/A
"Elvis Presley - Elvis (LP, Album, Mono, Ind)",$184.99,Rated: 5.00,23 have,63 want,N/A
"Pedro Vargas - Canciones De Navidad Vol. II (LP, Album, Mono)",$15.99,Rated: 4.67,12 have,1 want,N/A
"Charlie Byrd - Swings Downtown (LP, Album)",$4.99,Rated: 3.91,218 have,9 want,N/A
"Menudo - A Todo Rock (LP, Album)",$14.99,Rated: 3.64,270 have,28 want,N/A
"Squeeze (2) - East Side Story (LP, Album, Y -)",$7.99,Rated: 4.00,1141 have,91 want,N/A
"Dave Mason - Mariposa De Oro (LP, Album, San)",$3.99,Rated: 3.58,434 have,11 want,N/A
"Ted Nugent - Double Live Gonzo! (2xLP, Album, Ora)",$14.99,Rated: 4.20,171 have,24 want,N/A
Dal Riada - The Magician Upstairs (LP),$9.99,N/A,5 have,5 want,N/A
"Prince And The Revolution - Parade (LP, Album, Spe)",$16.99,Rated: 4.18,7616 have,705 want,N/A
"Bachman-Turner Overdrive - Head On (LP, Album, Ter)",$5.99,Rated: 3.64,4119 have,108 want,N/A
"Neil Diamond - Stones (LP, Album, All)",$3.99,Rated: 4.08,1334 have,38 want,N/A
"The New Christy Minstrels Under The Direction Of Randy Sparks - Today (LP, Album, Mono, Pit)",$1.29,Rated: 3.67,250 have,11 want,N/A
"Al Di Meola / John McLaughlin / Paco De Lucía - Friday Night In San Francisco (LP, Album)",$19.99,Rated: 4.40,1500 have,322 want,N/A
"Sting - The Dream Of The Blue Turtles (LP, Album, Club, Car)",$9.99,Rated: 4.15,804 have,107 want,N/A
"Violent Femmes - The Blind Leading The Naked (LP, Album, All)",$15.99,Rated: 3.87,3899 have,387 want,N/A
"Emigré - Emigré (LP, Album, San)",$2.99,Rated: 3.60,138 have,16 want,N/A
"James Taylor (2) - Flag (LP, Album, San)",$2.99,Rated: 3.94,389 have,24 want,N/A
"The Blasters - The Blasters (LP, Album, RE, Win)",$6.99,Rated: 4.00,455 have,50 want,N/A
